Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
Hypodontia,Hydronephrosis,1.060152488,-0.409701299,2.530006276,0.83706317,ns
Open Mouth,Long/Prominent Philtrum,1.061583431,-0.794558993,2.917725854,1,ns
Strabismus,Dry Skin/Hyperkeratosis/Eczema,1.06440717,-0.182890391,2.311704731,0.456660065,ns
Narrow Hands,Ventricular Septal Defect,1.064801645,-1.019692882,3.149296171,1,ns
Ventricular Septal Defect,Urinary Tract Infection,1.064801645,-1.019692882,3.149296171,1,ns
Age,Hip Dislocation/Dysplasia,1.064809483,0.032560769,2.097058197,0.244459343,ns
Upward Slanting Palpebral Fissures,Pectus Excavatum,1.06551031,-0.052366474,2.183387095,0.340236647,ns
Age,Bulbous Nasal Tip,1.069814663,0.329493405,1.810135922,0.057980926,ns
Scoliosis/Kyphosis,Bilateral Kidneys,1.071177118,-1.303529931,3.445884167,1,ns
Dolichocephaly,Hydrocephalus,1.071223497,-3.182500674,5.324947668,1,ns
Strabismus,Patent Foramen Ovale,1.071436656,-0.491845179,2.634718492,0.815683293,ns
Strabismus,Inguinal Hernia,1.071436656,-0.491845179,2.634718492,0.815683293,ns
Pectus Excavatum,Cryptorchidism,1.072244884,-0.105515019,2.250004788,0.403333139,ns
Craniosynostosis,ADHD,1.072481707,-1.553443363,3.698406776,0.989163186,ns
Ptosis,ADHD,1.07566427,-0.180427407,2.331755947,0.625594573,ns
Failure to Thrive in Infancy,Friendly/Amiable Affect,1.076885875,-0.4784952,2.63226695,0.588828361,ns
Upward Slanting Palpebral Fissures,Hydrocephalus,1.078781085,-0.754271521,2.911833691,0.916412114,ns
Corpus Callosum Hypoplasia/Agenesis,ADHD,1.078806242,-0.137255939,2.294868422,0.437974059,ns
High/Broad Forehead,Hypotonia,1.078896688,-0.284704123,2.442497499,0.443286426,ns
Short Stature,Abnormal Hair Color/Texture,1.08021088,0.043003168,2.117418592,0.266179243,ns
Epicanthal Folds,Abnormal Hair Color/Texture,1.082525071,0.30189935,1.863150791,0.075393662,ns
Speech Developmental Delay,Abnormal EEG,1.082556049,-0.132952488,2.298064587,0.356384124,ns
Narrow/High Palate,Abnormal EEG,1.082736211,-0.154375119,2.319847542,0.60653734,ns
High/Broad Nasal Bridge,Narrow/High Palate,1.083473193,-0.103963897,2.270910283,0.413625511,ns
Low Birth Weight,Hypotonia,1.083787183,-0.87332573,3.040900096,0.821833077,ns
Intrauterine Growth Restriction,Large/Prominent Ears,1.085311913,-0.119560138,2.290183964,0.407476449,ns
Tracheomalacia/Laryngomalacia,Cryptorchidism,1.086250624,0.10517211,2.067329139,0.220885783,ns
High/Broad Forehead,Widely Spaced Teeth,1.08841301,-0.544322085,2.721148104,0.918053594,ns
Friendly/Amiable Affect,Dry Skin/Hyperkeratosis/Eczema,1.091163283,-0.181667265,2.363993831,0.411650474,ns
Broad Chin,Hip Dislocation/Dysplasia,1.091379072,-0.157137888,2.339896033,0.605854943,ns
Bulbous Nasal Tip,Scoliosis/Kyphosis,1.091982849,0.182769133,2.001196566,0.137735994,ns
Sparse Eyebrows,Dry Skin/Hyperkeratosis/Eczema,1.092415634,-0.388451638,2.573282906,0.819180419,ns
Sparse Eyebrows,Bilateral Kidneys,1.09249168,-1.620564189,3.805547549,0.989163186,ns
Hyperopia,Vesicoureteral Reflux,1.09422443,-0.190950773,2.379399633,0.625594573,ns
Ptosis,Tongue Protrusion,1.095480309,-0.790178763,2.981139381,1,ns
Intrauterine Growth Restriction,Abnormal Hair Color/Texture,1.097647174,-0.078647467,2.273941816,0.365627661,ns
Pectus Excavatum,Sacral Dimple,1.099535674,-0.49683111,2.695902457,0.913150556,ns
Open Mouth,Pigmentation Abnormalities,1.099535674,-1.47124779,3.670319137,0.985043164,ns
Urinary Tract Infection,Pigmentation Abnormalities,1.099535674,-1.47124779,3.670319137,0.985043164,ns
Urinary Tract Infection,Nasal Speech,1.099535674,-1.47124779,3.670319137,0.985043164,ns
Atrial Septal Defect,Hypopigmentation,1.100082823,-0.474216527,2.674382172,0.840476953,ns
Narrow/Short Palpebral Fissures,Narrow Hands,1.101664033,-0.755598995,2.958927061,1,ns
Large/Prominent Ears,Scoliosis/Kyphosis,1.10288308,0.259730057,1.946036102,0.103285255,ns
High/Broad Nasal Bridge,Pulmonary Valve Stenosis,1.105005614,-1.053967348,3.263978576,1,ns
Dolichocephaly,Friendly/Amiable Affect,1.106115822,-1.151096371,3.363328015,0.99316646,ns
Joint Hyperlaxity,Sacral Dimple,1.107432083,-0.108014148,2.322878314,0.378793504,ns
Pectus Excavatum,Foot Deformities,1.109366683,-0.101878573,2.320611939,0.403333139,ns
Hypotonia,Abnormal Hair Color/Texture,1.110163004,0.127905503,2.092420504,0.173162492,ns
Intrauterine Growth Restriction,Hip Dislocation/Dysplasia,1.111332905,-0.207272183,2.429937992,0.653097415,ns
Tracheomalacia/Laryngomalacia,Hydronephrosis,1.111332905,-0.207272183,2.429937992,0.653097415,ns
Small Teeth,Motor Developmental Delay,1.111786934,-0.519490496,2.743064364,0.583649698,ns
Bulbous Nasal Tip,Pigmentation Abnormalities,1.11309016,-0.611283595,2.837463915,0.59088349,ns
Otitis Media,Dry Skin/Hyperkeratosis/Eczema,1.113370434,-0.939437176,3.166178043,1,ns
Sparse Eyebrows,Hydrocephalus,1.11391332,-1.013136772,3.240963412,1,ns
Microcephaly,Hypertelorism,1.114500554,-1.090073117,3.319074225,1,ns
Low Birth Weight,Joint Hyperlaxity,1.114903145,-0.205238877,2.435045167,0.452743874,ns
Low Birth Weight,Feeding Difficulties,1.115872098,-0.344042342,2.575786537,0.488962709,ns
Epicanthal Folds,Low-Set Ears,1.116458977,0.242899549,1.990018404,0.113406177,ns
Low Birth Weight,Developmental Delay/Intellectual Disability,1.118448784,-3.007913701,5.244811269,1,ns
Tubular or Pear-Shaped Nose,Foot Deformities,1.11904348,0.152565713,2.085521246,0.158589805,ns
Pulmonary Valve Stenosis,Sacral Dimple,1.119909464,-1.484836317,3.724655244,0.981452951,ns
Joint Hyperlaxity,Nasal Speech,1.122881489,-0.262982561,2.50874554,0.486372968,ns
Narrow/Short Palpebral Fissures,Slender Lower Limbs,1.122917328,-0.387188256,2.633022913,0.805956168,ns
Narrow/Short Palpebral Fissures,Abnormal EEG,1.122988688,-0.024608033,2.270585408,0.347025377,ns
Ptosis,Multiple Nevi,1.123456554,-0.208030733,2.454943841,0.653097415,ns
Joint Hyperlaxity,Foot Deformities,1.124232911,0.258590631,1.98987519,0.104204852,ns
Ptosis,Abnormal EEG,1.12485595,0.011428953,2.238282948,0.312802777,ns
Slender/Long Fingers,Hypotonia,1.126041661,-0.235509191,2.487592513,0.400930269,ns
Dolichocephaly,Abnormal Hair Color/Texture,1.12659757,-1.042960792,3.296155932,1,ns
Scoliosis/Kyphosis,Pigmentation Abnormalities,1.129514831,-0.282800936,2.541830598,0.686273717,ns
Long Face,High/Broad Forehead,1.133163034,0.155207417,2.111118651,0.165773845,ns
Hyperopia,Hypopigmentation,1.133317752,-0.441761127,2.708396631,0.820656405,ns
High/Broad Forehead,Foot Deformities,1.135672692,0.083512732,2.187832652,0.245257989,ns
Sparse Eyebrows,Patent Foramen Ovale,1.136235778,-0.683907729,2.956379285,0.99316646,ns
Abnormal EEG,Hypoplasia Hand Muscles,1.136235778,-0.683907729,2.956379285,0.99316646,ns
Anxiety,Patent Foramen Ovale,1.136235778,-0.683907729,2.956379285,0.99316646,ns
Narrow/High Palate,Cryptorchidism,1.136996069,0.071044868,2.202947269,0.254040149,ns
Failure to Thrive in Infancy,Hip Dislocation/Dysplasia,1.139706112,-0.522543948,2.801956172,0.905801833,ns
Upward Slanting Palpebral Fissures,Large/Prominent Ears,1.139759833,0.346794942,1.932724724,0.058952678,ns
Open Mouth,Atrial Septal Defect,1.13982297,-0.59885434,2.878500279,0.916412114,ns
Narrow Hands,Atrial Septal Defect,1.13982297,-0.59885434,2.878500279,0.916412114,ns
Strabismus,Myopia,1.14000306,-0.250407815,2.530413936,0.48872465,ns
Speech Developmental Delay,Hearing Impairment,1.141297323,0.254147022,2.028447625,0.099803871,ns
Intrauterine Growth Restriction,Patent Foramen Ovale,1.141622743,-0.924139159,3.207384645,1,ns
Intrauterine Growth Restriction,Hypoplasia Hand Muscles,1.141622743,-0.924139159,3.207384645,1,ns
Intrauterine Growth Restriction,Inguinal Hernia,1.141622743,-0.924139159,3.207384645,1,ns
Patent Foramen Ovale,Hydronephrosis,1.141622743,-0.924139159,3.207384645,1,ns
Neonatal Jaundice,High/Broad Nasal Bridge,1.141679796,0.063916553,2.219443038,0.26620846,ns
Upward Slanting Palpebral Fissures,Abnormal EEG,1.142717544,0.145080838,2.140354249,0.180952005,ns
Small Teeth,Inguinal Hernia,1.14332085,-1.424683124,3.711324825,0.979417118,ns
Long Face,Large/Prominent Ears,1.144598075,0.347732076,1.941464075,0.057922235,ns
Bicuspid Aortic Valve,Scoliosis/Kyphosis,1.144826865,-0.492989516,2.782643245,0.830293528,ns
Hypertelorism,Cryptorchidism,1.148034191,0.183398438,2.112669945,0.164127177,ns
Short Stature,Hypopigmentation,1.148863386,-0.659027918,2.95675469,0.99316646,ns
ADHD,Astigmatism,1.148969033,-0.926373134,3.224311201,1,ns
ADHD,Nystagmus,1.148969033,-0.926373134,3.224311201,1,ns
ADHD,Café-au-lait Spots,1.148969033,-0.926373134,3.224311201,1,ns
Cryptorchidism,Widely Spaced Nipples,1.149721431,-0.324262404,2.623705265,0.733180898,ns
Short Stature,Foot Deformities,1.151738452,0.029317725,2.274159178,0.296552998,ns
Joint Hyperlaxity,Hypoplasia Hand Muscles,1.153087652,-0.406372775,2.712548079,0.733180898,ns
Low Birth Weight,Tubular or Pear-Shaped Nose,1.15455223,-0.402264627,2.711369087,0.499278491,ns
Cleft Lip/Palate,Abnormal Hair Color/Texture,1.155097584,-0.458099217,2.768294384,0.781816356,ns
Otitis Media,Foot Deformities,1.155433999,-0.398528288,2.709396286,0.797230314,ns
Cleft Lip/Palate,Foot Deformities,1.155569708,-0.551322806,2.862462223,0.906067537,ns
Foot Deformities,Café-au-lait Spots,1.155569708,-0.551322806,2.862462223,0.906067537,ns
Age,Abnormal Hair Color/Texture,1.155588439,0.348973891,1.962202988,0.056750081,ns
Small Teeth,Sacral Dimple,1.155688996,-0.904228527,3.215606519,1,ns
Multiple Nevi,Hypopigmentation,1.155688996,-0.904228527,3.215606519,1,ns
Tongue Protrusion,Slender Lower Limbs,1.159036685,-1.421931126,3.740004497,0.976023317,ns
Sparse Eyebrows,Nasal Speech,1.159519944,-0.466339302,2.785379189,0.875340333,ns
Abnormal EEG,Nasal Speech,1.159519944,-0.466339302,2.785379189,0.875340333,ns
Cleft Lip/Palate,Otitis Media,1.160521591,-1.410357704,3.731400886,0.975143863,ns
Otitis Media,Café-au-lait Spots,1.160521591,-1.410357704,3.731400886,0.975143863,ns
Hypertelorism,Macroglossia,1.164386818,-0.252411714,2.58118535,0.696372556,ns
Hydrocephalus,Foot Deformities,1.165248514,-0.760151725,3.090648753,0.99316646,ns
ADHD,Vesicoureteral Reflux,1.165984286,-0.434678295,2.766646867,0.867718461,ns
ADHD,Multiple Nevi,1.165984286,-0.434678295,2.766646867,0.867718461,ns
ADHD,Constipation,1.165984286,-0.434678295,2.766646867,0.867718461,ns
Long Face,Enlarged Ventricles,1.166120793,0.254928545,2.077313042,0.106175132,ns
Ptosis,Widely Spaced Teeth,1.166167282,-0.370793316,2.70312788,0.78747266,ns
Ptosis,Widely Spaced Nipples,1.166167282,-0.370793316,2.70312788,0.78747266,ns
Tongue Protrusion,Bilateral Kidneys,1.167841687,-3.102716759,5.438400132,1,ns
Abnormal EEG,Strabismus,1.168760562,0.161106859,2.176414266,0.176092114,ns
Enlarged Ventricles,Abnormal EEG,1.169099897,0.053404795,2.284794999,0.276777361,ns
Macroglossia,Corpus Callosum Hypoplasia/Agenesis,1.169748644,-0.192535133,2.53203242,0.633962603,ns
High/Broad Nasal Bridge,Otitis Media,1.170739393,-0.477261987,2.818740773,0.875340333,ns
Enlarged Ventricles,Hypoplasia Hand Muscles,1.172426063,-0.51018114,2.855033265,0.884253309,ns
Pale Irides,Abnormal Hair Color/Texture,1.174957079,-0.248588628,2.598502785,0.474910453,ns
Hypodontia,Drooling,1.176949451,0.074847982,2.27905092,0.253442994,ns
Thin Upper Lip,Cryptorchidism,1.17797306,-0.065995586,2.421941705,0.368555274,ns
Tubular or Pear-Shaped Nose,Hyperopia,1.178115978,0.240444466,2.11578749,0.108946919,ns
Broad Chin,Narrow Hands,1.178337241,-0.910811233,3.267485715,1,ns
Hearing Impairment,Patent Foramen Ovale,1.179694071,-0.385140386,2.744528528,0.745049096,ns
Narrow Hands,Joint Hyperlaxity,1.179954065,-0.49883628,2.85874441,0.787163844,ns
Drooling,Pulmonary Valve Stenosis,1.181462157,-0.796748974,3.159673289,0.99316646,ns
Anxiety,Hyperopia,1.182219429,0.118102401,2.246336456,0.219849053,ns
Widely Spaced Teeth,Drooling,1.182591413,-0.292191348,2.657374174,0.715834481,ns
High/Broad Forehead,Ventricular Septal Defect,1.184461222,-0.063574049,2.432496494,0.527304602,ns
Slender Lower Limbs,Abnormal Hair Color/Texture,1.185159515,-0.1676062,2.537925231,0.417937683,ns
Narrow/Short Palpebral Fissures,Scoliosis/Kyphosis,1.185523349,0.226196504,2.144850193,0.136119578,ns
Motor Developmental Delay,Tracheomalacia/Laryngomalacia,1.189587372,0.221531141,2.157643603,0.124156555,ns
Low Birth Weight,High/Broad Forehead,1.189703194,-0.313860238,2.693266627,0.764294091,ns
Microcephaly,Long/Prominent Philtrum,1.190894066,-1.015358467,3.3971466,1,ns
Hyperopia,Scoliosis/Kyphosis,1.191513466,0.311119224,2.071907707,0.086180913,ns
Macroglossia,Vesicoureteral Reflux,1.193964013,-0.585234762,2.973162788,0.969064986,ns
Macroglossia,Constipation,1.193964013,-0.585234762,2.973162788,0.969064986,ns
Low Birth Weight,Scoliosis/Kyphosis,1.194306357,-0.149278831,2.537891544,0.573335655,ns
Epicanthal Folds,Nasal Speech,1.194901614,-0.196404722,2.586207951,0.595883487,ns
Open Mouth,Widely Spaced Teeth,1.195550809,-1.381280906,3.772382524,0.96831505,ns
Open Mouth,Widely Spaced Nipples,1.195550809,-1.381280906,3.772382524,0.96831505,ns
Urinary Tract Infection,Widely Spaced Nipples,1.195550809,-1.381280906,3.772382524,0.96831505,ns
Hypotonia,Café-au-lait Spots,1.195684595,-1.293784764,3.685153954,0.910992642,ns
Dolichocephaly,Foot Deformities,1.195980791,-1.076548451,3.468510032,1,ns
Macroglossia,Developmental Delay/Intellectual Disability,1.196560128,-2.927394518,5.320514774,1,ns
Large/Prominent Ears,Low-Set Ears,1.197043726,0.303238401,2.090849052,0.090764012,ns
Intrauterine Growth Restriction,Craniosynostosis,1.197590901,-1.432968236,3.828150037,0.969368921,ns
Thin Upper Lip,Tracheomalacia/Laryngomalacia,1.198340684,-0.129528734,2.526210102,0.588828361,ns
Hypodontia,Hypopigmentation,1.201678569,-0.608471221,3.011828358,0.969950792,ns
Micrognathia,Cryptorchidism,1.202435759,-0.401502104,2.806373623,0.78747266,ns
Large/Prominent Ears,Slender/Long Fingers,1.203230722,0.2211609,2.185300544,0.140502882,ns
Bulbous Nasal Tip,Pectus Excavatum,1.203355974,-0.188147012,2.59485896,0.369159603,ns
Cleft Lip/Palate,Friendly/Amiable Affect,1.203720273,-0.481608053,2.8890486,0.559900414,ns
Friendly/Amiable Affect,Café-au-lait Spots,1.203720273,-0.481608053,2.8890486,0.559900414,ns
Neonatal Jaundice,Macrocephaly,1.205133468,-0.129539677,2.539806613,0.587152819,ns
Neonatal Jaundice,Sacral Dimple,1.205133468,-0.129539677,2.539806613,0.587152819,ns
Hypertelorism,Sacral Dimple,1.205133468,-0.129539677,2.539806613,0.587152819,ns
Short Stature,Large/Prominent Ears,1.207727034,0.14644105,2.269013018,0.196299866,ns
Short Stature,Scoliosis/Kyphosis,1.207727034,0.14644105,2.269013018,0.196299866,ns
Broad Chin,Low-Set Ears,1.208001329,0.031746494,2.384256164,0.295778371,ns
Thin Upper Lip,Micrognathia,1.210394888,-0.85899012,3.279779896,1,ns
Thin Upper Lip,Patent Foramen Ovale,1.210394888,-0.85899012,3.279779896,1,ns
Hypertelorism,Micrognathia,1.211135648,-0.472594205,2.894865501,0.860782762,ns
Microcephaly,Craniosynostosis,1.211358371,-3.049448834,5.472165577,1,ns
Long Face,Abnormal EEG,1.213159142,0.186004126,2.240314157,0.148626125,ns
Neonatal Jaundice,Anxiety,1.214281237,0.096196324,2.332366151,0.244004981,ns
High/Broad Forehead,Otitis Media,1.215205881,-0.43442575,2.864837511,0.847949167,ns
Ptosis,Scoliosis/Kyphosis,1.215686411,0.290295199,2.141077622,0.100566243,ns
Age,Sparse Eyebrows,1.217790927,0.05522447,2.380357385,0.221144364,ns
Hearing Impairment,Otitis Media,1.217977131,-0.252068084,2.688022346,0.64313292,ns
Enlarged Ventricles,Friendly/Amiable Affect,1.218303726,0.306692441,2.129915012,0.085119401,ns
Scoliosis/Kyphosis,Hypopigmentation,1.220135124,-0.30808562,2.748355867,0.705768878,ns
Low Birth Weight,Epicanthal Folds,1.22321576,-0.102805401,2.54923692,0.376441944,ns
Open Mouth,Slender/Long Fingers,1.226682967,-0.634293226,3.087659161,0.965747823,ns
Craniosynostosis,Narrow/Short Palpebral Fissures,1.230124615,-0.97702773,3.43727696,1,ns
Small Teeth,Dry Skin/Hyperkeratosis/Eczema,1.230412984,-0.833869629,3.294695597,1,ns
Broad Chin,Enlarged Ventricles,1.23352009,0.021894746,2.445145433,0.308161156,ns
Low-Set Ears,Small Teeth,1.235810012,-0.341803793,2.813423816,0.757916827,ns
Dolichocephaly,Pulmonary Valve Stenosis,1.237237003,-3.028096522,5.502570528,1,ns
Narrow/High Palate,Foot Deformities,1.238140912,0.145049508,2.331232316,0.204732691,ns
Broad Chin,Hypotonia,1.240183467,-0.422814647,2.903181581,0.466770244,ns
Feeding Difficulties,Hypertelorism,1.242185659,0.263000421,2.221370897,0.104474628,ns
Age,Open Mouth,1.247039428,-0.794518237,3.288597093,0.795026019,ns
Joint Hyperlaxity,Dry Skin/Hyperkeratosis/Eczema,1.247264112,0.004990415,2.489537809,0.288888358,ns
Widely Spaced Teeth,Pectus Excavatum,1.247320818,-0.548394804,3.04303644,0.94606781,ns
Tongue Protrusion,Long/Prominent Philtrum,1.248683719,-0.640899594,3.138267032,0.95903333,ns
Pale Irides,Hyperopia,1.249649893,-0.226828188,2.726127974,0.654785408,ns
Feeding Difficulties,Bilateral Kidneys,1.252209632,-1.436173673,3.940592937,0.99316646,ns
Ptosis,Slender/Long Fingers,1.25445056,0.197358175,2.311542944,0.168118506,ns
Bulbous Nasal Tip,Hypoplasia Hand Muscles,1.254997087,-0.75231242,3.262306593,0.766712659,ns
Feeding Difficulties,Thin Upper Lip,1.255460295,-0.082723247,2.593643837,0.312802777,ns
Motor Developmental Delay,Hyperopia,1.259126834,0.379865735,2.138387932,0.055102723,ns
Micrognathia,Hypoplasia Hand Muscles,1.260146127,-1.317041855,3.837334108,0.958607169,ns
Micrognathia,Inguinal Hernia,1.260146127,-1.317041855,3.837334108,0.958607169,ns
Patent Foramen Ovale,Inguinal Hernia,1.260146127,-1.317041855,3.837334108,0.958607169,ns
Hypoplasia Hand Muscles,Inguinal Hernia,1.260146127,-1.317041855,3.837334108,0.958607169,ns
Enlarged Ventricles,Dry Skin/Hyperkeratosis/Eczema,1.260979772,-0.083670025,2.60562957,0.550317915,ns
Narrow/High Palate,Hydronephrosis,1.262377291,-0.130011189,2.654765772,0.607484061,ns
Upward Slanting Palpebral Fissures,Bilateral Kidneys,1.262430136,-1.106130863,3.630991135,0.995216275,ns
Microcephaly,Thin Upper Lip,1.263624586,-1.369547393,3.896796565,0.95903333,ns
Atrial Septal Defect,Patent Foramen Ovale,1.267550882,-0.337830398,2.872932163,0.743824903,ns
Everted Lower Lip,Otitis Media,1.268800252,-0.231308218,2.768908721,0.653097415,ns
Failure to Thrive in Infancy,Astigmatism,1.269409048,-1.309377162,3.848195258,0.958607169,ns
Astigmatism,Hypopigmentation,1.269409048,-1.309377162,3.848195258,0.958607169,ns
Bicuspid Aortic Valve,Hypopigmentation,1.269409048,-1.309377162,3.848195258,0.958607169,ns
Hypopigmentation,Café-au-lait Spots,1.269409048,-1.309377162,3.848195258,0.958607169,ns
Tubular or Pear-Shaped Nose,Urinary Tract Infection,1.270089163,-0.77135489,3.311533217,0.787163844,ns
High/Broad Forehead,Urinary Tract Infection,1.270089163,-0.592256734,3.132435061,0.945347863,ns
Ptosis,Pectus Excavatum,1.270480447,0.052580341,2.488380553,0.284089801,ns
Slender/Long Fingers,Foot Deformities,1.273955614,0.239088027,2.3088232,0.140480238,ns
Pale Irides,Abnormal EEG,1.276963244,-0.363354647,2.917281136,0.809727038,ns
Widely Spaced Teeth,Anxiety,1.276963244,-0.363354647,2.917281136,0.809727038,ns
Age,Intrauterine Growth Restriction,1.276998222,-0.129334185,2.683330629,0.331752854,ns
High/Broad Nasal Bridge,Broad Chin,1.277187483,0.019354032,2.535020934,0.453178543,ns
Hypodontia,ADHD,1.277450095,-0.111447355,2.666347546,0.594370279,ns
Intrauterine Growth Restriction,Cleft Lip/Palate,1.278903666,-0.802790344,3.360597677,1,ns
Cleft Lip/Palate,Hydronephrosis,1.278903666,-0.802790344,3.360597677,1,ns
Hydronephrosis,Café-au-lait Spots,1.278903666,-0.802790344,3.360597677,1,ns
Macroglossia,Abnormal EEG,1.280529021,-0.220003231,2.781061273,0.696372556,ns
Micrognathia,Multiple Nevi,1.281994468,-0.791346858,3.355335794,1,ns
Micrognathia,Sacral Dimple,1.281994468,-0.791346858,3.355335794,1,ns
Patent Foramen Ovale,Vesicoureteral Reflux,1.281994468,-0.791346858,3.355335794,1,ns
Hypoplasia Hand Muscles,Vesicoureteral Reflux,1.281994468,-0.791346858,3.355335794,1,ns
Inguinal Hernia,Sacral Dimple,1.281994468,-0.791346858,3.355335794,1,ns
Low Birth Weight,Upward Slanting Palpebral Fissures,1.28234305,-0.048806425,2.613492525,0.318624442,ns
Low Birth Weight,Vesicoureteral Reflux,1.284992048,-0.501931154,3.07191525,0.9309476,ns
Low Birth Weight,Sacral Dimple,1.284992048,-0.501931154,3.07191525,0.9309476,ns
Strabismus,Bicuspid Aortic Valve,1.285643978,-0.329173388,2.900461343,0.690442254,ns
Narrow/High Palate,Abnormal Hair Color/Texture,1.28620039,0.272973123,2.299427658,0.11324271,ns
Feeding Difficulties,Patent Foramen Ovale,1.286553765,-0.493726422,3.066833951,0.5177619,ns
Sparse Eyebrows,Café-au-lait Spots,1.286953307,-0.555036606,3.12894322,0.937179476,ns
Large/Prominent Ears,Pectus Excavatum,1.287518064,0.145872667,2.429163461,0.200907162,ns
Ptosis,Tubular or Pear-Shaped Nose,1.288194263,0.266415556,2.30997297,0.104204852,ns
Narrow/Short Palpebral Fissures,Tongue Protrusion,1.288734916,-0.60194957,3.179419402,0.943149491,ns
Narrow/High Palate,Broad Chin,1.290617665,-0.024467477,2.605702806,0.508277778,ns
Micrognathia,Long/Prominent Philtrum,1.290683681,-0.395455937,2.9768233,0.81442205,ns
Tracheomalacia/Laryngomalacia,Inguinal Hernia,1.290683681,-0.395455937,2.9768233,0.81442205,ns
Low-Set Ears,Ventricular Septal Defect,1.291210508,0.150448985,2.431972032,0.204645364,ns
Ventricular Septal Defect,Cryptorchidism,1.296432244,0.178685563,2.414178926,0.182686367,ns
ADHD,Urinary Tract Infection,1.299420695,-0.795110808,3.393952199,1,ns
Ptosis,Bicuspid Aortic Valve,1.301526564,-0.409147823,3.012200951,0.81442205,ns
Intrauterine Growth Restriction,Broad Chin,1.304153393,-0.180984498,2.789291284,0.670299714,ns
Feeding Difficulties,Myopia,1.304490403,-0.274833121,2.883813926,0.407170847,ns
Long/Prominent Philtrum,Hypotonia,1.305334223,-0.049036398,2.659704845,0.270363326,ns
Hypotonia,Tracheomalacia/Laryngomalacia,1.305334223,-0.049036398,2.659704845,0.270363326,ns
High/Broad Nasal Bridge,Hypopigmentation,1.308482564,-0.359439499,2.976404626,0.797230314,ns
Ptosis,Hydrocephalus,1.308549065,-0.620066509,3.237164639,0.937798408,ns
ADHD,Widely Spaced Nipples,1.311201688,-0.488033412,3.110436789,0.918053594,ns
Small Teeth,Ventricular Septal Defect,1.311989858,-0.503152242,3.127131957,0.920451929,ns
Tubular or Pear-Shaped Nose,Widely Spaced Nipples,1.313660479,-0.420217904,3.047538862,0.466770244,ns
Drooling,Vesicoureteral Reflux,1.315945937,0.056789382,2.575102491,0.271629409,ns
Macroglossia,Seizures,1.316114303,-0.064957017,2.697185623,0.305478536,ns
Drooling,Speech Developmental Delay,1.318016791,0.310362639,2.325670944,0.086180913,ns
Corpus Callosum Hypoplasia/Agenesis,Widely Spaced Nipples,1.318589294,-0.159726144,2.796904733,0.607484061,ns
Dolichocephaly,ADHD,1.319451365,-1.348694868,3.987597597,0.949692628,ns
Drooling,Developmental Delay/Intellectual Disability,1.323120898,-1.155191185,3.801432981,0.840003782,ns
Hypotonia,Foot Deformities,1.323201584,0.063295307,2.58310786,0.207156352,ns
Abnormal EEG,Pulmonary Valve Stenosis,1.326609641,-0.83861746,3.491836741,1,ns
Narrow/High Palate,Pale Irides,1.327068239,-0.315439066,2.969575543,0.785580541,ns
Narrow/Short Palpebral Fissures,Micrognathia,1.331592902,-0.355841544,3.019027349,0.792942906,ns
Microcephaly,Sacral Dimple,1.332248901,-1.3037677,3.968265501,0.94606781,ns
Long Face,Widely Spaced Nipples,1.332271634,-0.175581768,2.840125036,0.369159603,ns
Cleft Lip/Palate,Narrow/High Palate,1.335688562,-0.508136982,3.179514105,0.916412114,ns
Intrauterine Growth Restriction,Pigmentation Abnormalities,1.33710408,-0.458798168,3.133006329,0.913150556,ns
Myopia,Hydronephrosis,1.33710408,-0.458798168,3.133006329,0.913150556,ns
Hydronephrosis,Pigmentation Abnormalities,1.33710408,-0.458798168,3.133006329,0.913150556,ns
Ptosis,Bulbous Nasal Tip,1.338616023,0.248955166,2.42827688,0.112782834,ns
Hypodontia,Language Disorder,1.33864549,0.289731491,2.387559489,0.108692498,ns
Atrial Septal Defect,Tracheomalacia/Laryngomalacia,1.338971848,0.361801997,2.3161417,0.080272606,ns
Ventricular Septal Defect,Vesicoureteral Reflux,1.339041422,-0.151988432,2.830071276,0.648062703,ns
Enlarged Ventricles,Astigmatism,1.339539111,-0.372189907,3.051268128,0.793116087,ns
Open Mouth,Foot Deformities,1.342915183,-0.400280138,3.086110504,0.797230314,ns
Tongue Protrusion,Broad Chin,1.344889243,-0.767791052,3.457569538,1,ns
Tongue Protrusion,Widely Spaced Teeth,1.345734682,-1.246579147,3.938048512,0.944427936,ns
Thin Upper Lip,Café-au-lait Spots,1.34765066,-0.737639055,3.432940374,1,ns
Failure to Thrive in Infancy,Joint Hyperlaxity,1.349870125,-0.169176348,2.868916598,0.548266451,ns
Small Teeth,Joint Hyperlaxity,1.349870125,-0.169176348,2.868916598,0.548266451,ns
Tongue Protrusion,Atrial Septal Defect,1.353209894,-0.431959598,3.138379386,0.802653552,ns
Dry Skin/Hyperkeratosis/Eczema,Inguinal Hernia,1.356693513,-0.720984977,3.434372003,1,ns
Everted Lower Lip,Dry Skin/Hyperkeratosis/Eczema,1.357850884,0.084691406,2.631010361,0.250190825,ns
High/Broad Forehead,Friendly/Amiable Affect,1.35821646,0.367258648,2.349174273,0.070177972,ns
Low Birth Weight,Dry Skin/Hyperkeratosis/Eczema,1.363254957,-0.429216225,3.155726139,0.901887291,ns
